DJIA	FTSE100	USDGBP	CAC40	EURUSD	Nikkei	YENUSD
13482.35	6559.6	1.9728	5934.27	0.7516	17732.77	122.33
13553.73	6649.9	1.9694	6047.23	0.7511	17842.29	122.92
13639.48	6732.4	1.9769	6105.28	0.7482	17971.49	123.52
13612.98	6703.5	1.9808	6087.15	0.7465	18149.52	123.66
13635.42	6650.2	1.9873	6071.67	0.7458	18163.61	123.38
13489.42	6649.3	1.9929	6093.29	0.7452	18211.68	123.65
13545.84	6596	1.9925	6029.79	0.7463	18240.3	123.66
13360.26	6567.4	1.9958	6023.25	0.7447	18188.63	124.09
13352.05	6588.4	1.9966	6002.85	0.7433	18087.48	123.74
13337.66	6559.3	1.9994	5953.36	0.7428	18066.11	123.09
13427.73	6527.6	1.9968	5941.67	0.7445	17849.28	122.48
13422.28	6571.3	2.0026	6006.31	0.7427	17932.27	122.97
13408.62	6607.9	2.0064	6054.93	0.7405	18138.36	123.51
13535.43	6590.6	2.0136	6026.95	0.7337	18146.3	122.31
13577.3	6639.8	2.0165	6069.84	0.7346	18149.9	122.33
13565.84	6635.2	2.0104	6059.53	0.7353	18221.48	122.82
13611.68	6690.1	2.0131	6102.69	0.7336	18140.94	123.2
13649.97	6712.7	2.0151	6104.66	0.7338	18261.98	123.31
13501.7	6630.9	2.0238	6019.22	0.7289	18252.67	122.08
13577.87	6615.1	2.0343	6001.09	0.7259	18049.51	121.84
13861.73	6697.7	2.0289	6103.05	0.7262	17984.14	122.46
13907.25	6716.7	2.0326	6117.96	0.726	18238.95	122.24
13971.55	6659.1	2.0446	6099.21	0.7254	18217.27	122.22
13918.22	6567.1	2.0522	5995.97	0.7242	18015.58	121.83
14000.41	6640.2	2.0499	6065.5	0.7234	18116.57	122.01
13851.08	6585.2	2.0552	5957.16	0.7228	18157.93	121.2
13943.42	6624.4	2.058	6009.16	0.7237	17963.64	121.35
13716.95	6498.7	2.0613	5907.47	0.7233	18002.03	120.66
13785.79	6454.3	2.0495	5837.11	0.7297	17858.42	120.25
13473.57	6251.2	2.0464	5675.05	0.7289	17702.09	119.31
13265.47	6215.2	2.0306	5643.96	0.7323	17283.81	118.8
13358.31	6206.1	2.0242	5646.36	0.7309	17289.3	118.46
13211.99	6360.1	2.0322	5751.08	0.7304	17248.89	119.07
13362.37	6250.6	2.0293	5654.3	0.7312	16870.98	118.55
13463.33	6300.3	2.0326	5682.07	0.7313	16984.11	118.99
13181.91	6224.3	2.0389	5597.89	0.7264	16979.86	118.37
13468.78	6189.1	2.0314	5532.99	0.7248	16914.46	117.8
13504.3	6308.8	2.0212	5620.4	0.7265	16921.77	118.4
13657.86	6393.9	2.0386	5749.29	0.7236	17029.28	119.64
13270.68	6271.2	2.0299	5624.78	0.7297	17170.6	118.66
13239.54	6038.3	2.0196	5448.63	0.7311	16764.09	117.78
13236.53	6219	2.0116	5569.28	0.7345	16800.05	118.37
13028.92	6143.5	2	5478.66	0.7369	16844.61	117.93
12861.47	6109.3	1.991	5442.72	0.7424	16475.61	117.25
12845.78	5858.9	1.9816	5265.47	0.7462	16148.49	114.23
13079.08	6064.2	1.986	5363.63	0.7401	15273.68	113.78
